id,cg_identifier,title,activity_status,last_updated,cg_activity_hierarchy,iati_identifier,act_date_start_planned,act_date_start_actual,act_date_end_planned,act_date_end_actual,contact_id,contact_tmp,reporting_org,reporting_org_type,reporting_org_tmp,reporting_org_type_tmp,participating_org,participating_org_type,participating_org_role,participating_org_tmp,participating_org_type_tmp,participating_org_role_tmp,description,budget_period_start,budget_period_end,budget_value,budget_value_currency,budget_value_date,budget_collaboration_type,cg_program,cg_program_tmp,cg_slo,cg_slo_tmp,cg_ido,cg_ido_tmp,cg_crp_ido,cg_crp_ido_tmp,cg_technology,cg_technology_tmp,cg_commodity,cg_commodity_tmp,document_url,project_website,cg_source,cg_remarks,cg_internal_status,cg_completeness
65,CRP4_65,"A4NH Seed Grant: Expanding research on dried small fish in Bangladesh to improve nutrition in the first 1,000 days of life and beyond ",2,2014-01-24,103,,2013-06-01,,2014-05-01,,13061|13774,Shakuntala Haraksingh Thilsted,,21,WORLD FISH,International NGO (21),,,,CIP|IRRI|HarvestPlus,,,"",,,100000,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-01,,CG-IDO-03,,53|65,Educational technology|Fishery technology,,small fish,,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Nutrition Sensitive Value Chains(theme),0,
55,CRP4_55,Food Safety,2,2014-01-24,103,,2012-01-21,,2013-01-15,,5078,Delia Grace,,21,ILRI,International NGO (21),,,,WorldFish|IFPRI (RIA),,,"",,,,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-02,,,,,"",,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Agriculture Associated Diseases(theme),0,
56,CRP4_56,Neglected Zoonoses,2,2014-01-24,103,,2013-01-12,,2013-12-15,,,Erik Fever,,21,ILRI,International NGO (21),,,,WorldFish|IFPRI (RIA),,,"",,,,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-02,,,,,"",,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Agriculture Associated Diseases(theme),0,
54,CRP4_54,Food Safety,2,2014-01-24,103,,2013-05-01,,2014-05-01,,5078,Delia Grace,,21,ILRI,International NGO (21),,,,"",,,"",,,,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-02,,,,,"",,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Agriculture Associated Diseases(theme),0,
4,CRP4_4,Investigating the current and potential role of local biodiversity in meeting nutritional requirements for complementary foods of infants and young children in Southern Benin,2,2014-01-24,103,,2012-01-01,,2015-12-01,,3059|10259,Bruce Cogill|Gervais Deleuze Ntandou-Bouzitou|Céline Termote,,21,BIOVERSITY,International NGO (21),,,,"",,,"",,,1943825,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-01,,CG-IDO-03,,52,Economic and policy technology,,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Nutrition Sensitive Value Chains(theme),0,
8,CRP4_8,"USAID Horticulture Project, CIP/AVRDC Bangladesh",2,2014-01-24,103,,2011-10-01,,2015-09-01,,1685,Shawkat Ara Begum,,21,CIP,International NGO (21),,,,Worldfish|CRP-AAS,,,"The project has been designed to improve income and nutritional status of 100,000 marginal farmer households living in the southern region of Bangladesh.  The project intends to achieve its goal through varietal selection, innovative seed strategies, improvements in cropping systems and crop management, increased income and nutrition benefits at scale through more effective value chains and institutional arrangements; and new multisectoral and interdisciplinary partnerships. To strengthen potato value chains, the project is initiating a new component on low-cost innovative storage of ware and seed potato to help potato farmers gain better income.",,,9131000,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-01,,CG-IDO-03,,14|52,Economic and policy technology|Seed technology,,potato,,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Nutrition Sensitive Value Chains(theme),0,
13,CRP4_13,Enhancing Child Nutrition and Livelihoods of Rural Households in Malawi and Tanzania through Post-Harvest Value Chain Technology Improvements in Groundnuts,2,2014-01-24,103,,2009-09-01,,2013-08-01,,12969,Moses Siambi,,21,ICRISAT,International NGO (21),,,,"",,,"",,,135000,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-01,,CG-IDO-03,,125,Postharvest technology,,groundnut,,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Nutrition Sensitive Value Chains(theme),0,
53,CRP4_53,Food Safety,2,2014-01-24,103,,2013-05-01,,2014-05-01,,5078,Delia Grace,,21,ILRI,International NGO (21),,,,"",,,"",,,,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-02,,,,,"",,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Agriculture Associated Diseases(theme),0,
18,CRP4_18,"Studies on factors influencing aflatoxin contamination, toxigenic profiling of A. flavus and mapping the hot-spot areas ",2,2014-01-24,103,,2012-01-01,,2014-12-01,,5069,CLL Gowda,,21,ICRISAT,International NGO (21),,,,"",,,"Studies on Factors Influencing Aflatoxin Contamination, Toxigenic Profiling of A. Flavus and Mapping the Hot-Spot Areas will use soil health mapping to generate crop-region maps highlighting the groundnut areas vulnerable to aflatoxin contamination.",,,787500,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-02,,,,127,Aflatoxins related postharvest technology,,groundnut,,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Agriculture Associated Diseases(theme),0,
14,CRP4_14,Identification of Micronutrients and Vitamin A Precursor (B-carotene) Dense-Sorghums for Better Health in Western and Central Africa (WCA) and Central India,2,2014-01-24,103,,2010-01-01,,2012-12-01,,1189,A Ashok Kumar,,21,ICRISAT,International NGO (21),,,,"",,,"",,,,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-01,,CG-IDO-03,,125,Postharvest technology,,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Biofortification(theme),0,
125,CRP2_CIP_Act15,,2,2014-01-24,103,,2012-03-01,,2014-12-01,,3568,André Devaux,,21,International Potato Center (CIP),International NGO (21),,,,"CTCRI|Trivandrum|Department of Agriculture, Guangxi (China)|IFAD|PROINPA Foundation|Iniciativa Papas Andinas Coordination|OFIAGRO|CONPAPA|AVSF (Agronomos y Veterinarios sin Frontera)|INIAP|ASARECA|BRAC|Gulu University|LZARDI|KARI",,,"CIP has worked with three different methods for value chain upgrading: Participatory Market Chain Approach (PMCA), Multistakeholder Platforms and Farmer Business Schools (see brief description in section C5). This activity will contribute to validating and adapting these approaches to diverse value chains in a range of different socio-economic and geographic environments. It will consolidate these methods through improved user and trainer guides, bring together evidence about their effectiveness and impact, and promote scaling out, institutionalization and policy development. It will collaborate with CRP-RTB where value chain activities are being implemented, with CRP-ANH where value chains for enhanced nutrition are being piloted, and with national public and private partners.",,,1606689,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-05,,52,Economic and policy technology,,"",,CIP - Work plan (Annex 2 PPA),"CIP - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Linking Small Producers to markets(theme);Innovations across the Value Chain-3.1(st);3.1.2(op),0,
114,CRP2_ILRI_Act83,,2,2014-01-24,103,,2012-07-01,,2014-12-01,,6799,Nancy Johnson,,21,International Livestock Research Institute (ILRI),International NGO (21),,,,FAO|IFAD|ICRW|AGRA|care|HPI-EADD,,,"The activity looks at approaches for reaching the rural poor and especially women with services such as extension services, livestock veterinary services, training, and credit amongst others. It develops a framework for evaluating these services form a pro-poor, pro-gender perspectives and works with current ILRI development partners and existing projects to evaluate these approaches in terms of access, effectiveness and sustainability.",,,807135,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-07,,53|52,Economic and policy technology|Educational technology,,"",,ILRI - Work plan (Annex 2 PPA),"ILRI - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Inclusive Governance and Institutions(theme);Governance of Rural Services-2.2(st);2.2.3|2.2.5(op),0,
93,CRP2_IFPRI_Act73,,3,2014-01-24,103,,2010-07-01,,2012-12-01,,11630,Agnes Quisumbing,,21,International Food Policy Research Institute (IFPRI),International NGO (21),,,,ILRI|IRRI|BRAC|CARE-Bangladesh|Helen Keller International|Landesa|Kickstart International|East African Dairy Development Project|LandOLakes (Mozambique)|CSISA|Bill and Melinda Gates Foundation|Wellsprings Advisors|World Food Programme|FAO|IFAD,,,"The proposed research activity aims to contribute to building institutions to strengthen assets of the poor through policies and interventions that strengthen women’s control over critical assets by:
- Identifying the social, economic and institutional factors that facilitate or impede women’s access to and control over assets
- Assessing the consequences of the asset gap on development outcomes and exploring returns to reducing or eliminating that gap
- Strengthening methods for measuring men’s and women’s effective access to and control over assets
- Evaluating the effectiveness of various approaches to increase women’s control over assets (including defining the appropriate asset bundle)
- Developing tools for monitoring and evaluating the impact of interventions on asset accumulation and depletion, particularly by poor women.",,,659792,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-06,,,Educational technology,,"",,IFPRI - Work plan (Annex 2 PPA),"IFPRI - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Inclusive Governance and Institutions(theme);Institutions to Strengthen the Assets of the Poor-2.4(st);2.4.2|2.4.4|2.4.5|2.4.6|2.4.7|2.4.8(op),0,
82,CRP2_IFPRI_Act57,,2,2014-01-24,103,,2012-03-01,,2014-12-01,,7744,David Laborde,,21,International Food Policy Research Institute (IFPRI),International NGO (21),,,,"",,,"The objective of this activity is to study the structural changes affecting in the long term the global trading system and the equilibrium of world agricultural markets. We consider fourd stages of analysis: first the long term impact of economic and demographic developments (the catching-up of income per capita in emerging countries and the end of the world demographic transition); second the long term consequences of changes in trade, energy and agricultural domesic policies; third the long term consequences of changes in the governance of the world trading system (the increasing prominence of regionalism at the detrimental of multilateralism) and last the role of Foreign Direct Investments (capital or land), a strong complement to trade, in terms of endowment and productivity shifters.",,,692518,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-02,,52,Economic and policy technology,,"",,IFPRI - Work plan (Annex 2 PPA),"IFPRI - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx","(theme);Macroeconomic, Trade, and Investment Policies-1.2(st);1.2.1|1.2.2|1.2.3|1.2.5(op)",0,
81,CRP2_IFPRI_Act52,,2,2014-01-24,103,,2012-08-01,,2014-07-01,,1178,Kwadwo Asenso-Okyere,,21,International Food Policy Research Institute (IFPRI),International NGO (21),,,,"",,,"The project will examine the existing capacity in ICT, information needs, and ICT information utilization by different actors of 4 countries of Sub-Saharan Africa. In addition, assessment on how knowledge from national agricultural research institutes can be further exploited to develop content for ICT will be carried out. In addition, information producers and information brokers will be interviewed about their perception about agricultural information dissemination using ICT and how their work can be facilitated to provide the knowledge and information needed by ICT operators as content for agricultural extension and advisory services. The study will be carried out in Kenya, Tanzania, Uganda, Malawi and Zambia.",,,446965,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-03,,69,Information and communication technology,,"",,IFPRI - Work plan (Annex 2 PPA),"IFPRI - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Effective Policies and Strategic Investments(theme);Production and Technology Policies-1.3(st);1.3.12(op),0,
1,CRP4_1,Enhanced nutritional outcomes of populations through nutrition-sensitive agricultural promotion by a vegetable seed company in Bangladesh,2,2014-01-24,103,,2013-08-01,,2014-07-01,,,Ray Yu Yang,,21,AVRDC,International NGO (21),,,,"",,,"",,,100000,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-01,,CG-IDO-03,,52,Economic and policy technology,,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Nutrition Sensitive Value Chains(theme),0,
2,CRP4_2,Developing agrobiodiversity-based strategies for better nutrition security among smallholder households in banana growing regions of East Africa,2,2014-01-24,103,,2012-07-01,,2015-06-01,,3984,Beatrice Ekesa,,21,BIOVERSITY,International NGO (21),,,,None,,,"",,,834529,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-01,,CG-IDO-03,,1,Agroforestry technology,,banana,,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Nutrition Sensitive Value Chains(theme),0,
3,CRP4_3,The effects of market integration on the nutritional contributions of traditional foods to the wellbeing of the rural poor in Africa,2,2014-01-24,103,,2009-11-01,,2013-02-01,,1717,Mauricio Bellon|Gervais Deleuze Ntandou-Bouzito,,21,BIOVERSITY,International NGO (21),,,,"",,,"",,,814972,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-01,,CG-IDO-03,,52,Economic and policy technology,,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Nutrition Sensitive Value Chains(theme),0,
80,CRP2_IFPRI_Act50,,1,2014-01-24,103,,2012-06-01,,2014-04-01,,15077,Wei Zhang,,21,International Food Policy Research Institute (IFPRI),International NGO (21),,,,"Department of Agricultural Economics, University of Ibadan, Nigeria|Department of Crop and Environmental Biology University of Ibadan, Nigeria|Centre for Crop Systems Analysis, Wageningen University",,,"This research aims to improve our understanding of the provision and multidimensional benefit of ecosystem services (ES) for smallholder farmers in Nigeria and how farmers perceive and invest in enhancing ES. This understanding will help governments to identify the policy gaps and design policies or incentive schemes for enhancing ES for smallholder farmers. Building on an on-going IFPRI project which evaluates the impact of a national community-driven development project on sustainable land management practices in Nigeria (FADAMA III), this study examines the contribution of ES (or indicators of ES) to agricultural productivity, income, and household food and nutrition security. The study will also explore the role of landscape diversity in the provision of pest control service and honey production. The study will use local government area (LGA)1 and household level data collected from both the FADAMA project and a new supplementary village survey focusing on ES undertaken in this study. The supplementary household survey and village focus group discussions (FGD) will allow us to assess farmers’ perception about ES (including their knowledge, attitude, and perceived benefit of provisioning, supporting, regulating and cultural ES) and collective investment and management. Based on the findings, we will draw policy implications for promoting positive effects of ES to smallholder farmers and strategies for optimal land use and natural resource management.",,,700470,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-03,,52,Economic and policy technology,,"",,IFPRI - Work plan (Annex 2 PPA),"IFPRI - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Effective Policies and Strategic Investments(theme);Production and Technology Policies-1.3(st);1.3.5|1.3.6|1.3.14(op),0,
95,CRP2_IFPRI_Act77,,2,2014-01-24,103,,2012-03-01,,2014-12-01,,1418|8504,Ousmane Badiane,,21,International Food Policy Research Institute (IFPRI),International NGO (21),,,,"",,,"With 29 countries having completed the Comprehensive Africa Agriculture Development Programme (CAADP) roundtables (RTs), several elaborating their investment plans, and many others working toward CAADP RTs, this activity will provide support to set up Strategic Analysis and Knowledge Support Systems (SAKSS) to improve the quality of policy and strategy design and implementation at the country level and to help strengthen local capacity for policy analysis through collaborative work as well as through short- and long-term training. This is a 3 year activity that will be jointly carried out by IFPRI and the Regional Strategic Analysis and Knowledge Support System nodes.",,,9775286,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-01,,52,Economic and policy technology,,"",,IFPRI - Work plan (Annex 2 PPA),"IFPRI - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Effective Policies and Strategic Investments(theme);Foresight and Strategic Scenarios-1.1(st);1.1.1|1.1.4|1.1.5|1.1.3(op),0,
22,CRP4_22,Food Safety and Adulteration in the India Dairy Value Chain** (Theme 1 & 3),2,2014-01-24,103,,2012-01-01,,2014-12-01,,12253,Devesh Roy,,21,IFPRI,International NGO (21),,,,ILRI,,,"",,,,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-01,,CG-IDO-03,,,"",,dairy,,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Nutrition Sensitive Value Chains(theme),0,
46,CRP4_46,Partnership for Aflatoxin Control in Africa (PACA) - Expansion of biological control in Africa; Testing of large-scale manufacturing model for aflasafe,2,2014-01-24,103,,2012-03-01,,2013-11-01,,7085,Lawrence Kaptoge,,21,IITA,International NGO (21),,,,None,,,"",,,1776703,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-02,,,,128,Aflasafe,,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Agriculture Associated Diseases(theme),0,
