IDO Code,CRP IDOs (Sep. 2013)
CRP6-IDO-3,"Gender: Greater gender equity in decision-making and control over forest and tree use, management and benefits are improved through women's empowerment. (ALL SLOs)"
CRP6-IDO-4,"Income: Income from products and environmental services derived from forests, trees and agroforestry systems enhanced. (SLO1)"
CRP6-IDO-5,"Food Security: production and availability of foods and fuel and other products from FTA systems increased for poor dependent people. (SLO2, SLO3)"
CRP6-IDO-6,"Adaptive Capacity: Resilience to environmental and economic variability, shocks and longer term changes of rural communities enhanced through greater adaptive capacity to manage FTA systems. (SLO4)"
CRP6-IDO-7,Future Options: Biodiversity and ecosystem services (including carbon sequestration) from forests and trees conserved or improved in key target countries. (SLO 4)
CRP7-IDO-1,"Gender: Empowerment of women and marginalised groups through (a) increased access to and control over productive assets, inputs, information, food and markets and (b) strengthened participation in decision-making processes"
CRP7-IDO-2,"Adaptive capacity: Increased capacity in low-income communities (and supporting organisations) to adapt to climate variability, shocks and longer-term changes leading to more climate-resilient livelihoods"
CRP7-IDO-3,"Policies/Institutions: Policies supporting sustainable, resilient and equitable agricultural and natural resource management developed, adopted and implemented by agricultural, natural resource management, conservation and development organizations, civil society and advocacy organisations and networks, national governments and international bodies"
CRP7-IDO-4,Food security: Increased and stable access to food commodities by rural and urban poor
CRP7-IDO-5,Climate: Agricultural and natural resources development in key target countries reduce the emissions intensity of greenhouse gases and increase carbon sequestration
