CRP,source_details,geo_name,geo_name_id,location_type,adm1,adm1name,adm2,adm2name,latitude,longitude,precision
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Egypt,357994,independent political entity,,,,,27,30,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Eritrea,338010,independent political entity,,,,,15,39,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Ethiopia,337996,independent political entity,,,,,8,38,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Euphrates River,315147,stream,,,,,30.57888857,47.76572227,5
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Ganges River,1202950,stream,577,Dhaka,5792,Shariatpur,23.366667,90.533333,2
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Ghana,2300660,independent political entity,,,,,8.1,-1.2,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Guinea,2420477,independent political entity,,,,,11,-10,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,India,1269750,independent political entity,,,,,20,77,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Indus River,1115007,stream,2277,Sind,23693,Thatta,24.190896,67.735522,2
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Iraq,99237,independent political entity,,,,,33,44,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Kazakhstan,1522867,independent political entity,,,,,48,68,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Kenya,192950,independent political entity,,,,,1,38,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Kyrgyzstan,1527747,independent political entity,,,,,41,75,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Laos,1655842,independent political entity,,,,,18,105,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Limpopo River,982748,stream,,,,,-25.2,33.5333333,5
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Malawi,927384,independent political entity,,,,,-13.5,34,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Mali,2453866,independent political entity,,,,,18,-2,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Mekong River,1574716,stream,3384,Tien Giang,74226,Cai Be,10.29735454,105.8508682,2
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Mozambique,1036973,independent political entity,,,,,-18.25,35,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Myanmar [Burma],1327865,independent political entity,,,,,22,98,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Namibia,3355338,independent political entity,,,,,-22,17,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Nepal,1282988,independent political entity,,,,,28,84,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Niger,2440476,independent political entity,,,,,18,9,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Nigeria,2328926,independent political entity,,,,,10,8,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Nile River,351036,stream,,,,,30.166667,31.1,5
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Pakistan,1168579,independent political entity,,,,,30,70,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Peru,3932488,independent political entity,,,,,-10,-76,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Rwanda,49518,independent political entity,,,,,-2,30,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,South Africa,953987,independent political entity,,,,,-29,24,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,South Sudan,7909807,independent political entity,,,,,7.5,30,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Sudan,366755,independent political entity,,,,,16,30,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Syr Darya,1518649,stream,1721,Kyzylordinskaya,37251,Aral,46.08870991,60.95420837,2
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Syria,163843,independent political entity,,,,,35,38,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Tajikistan,1220409,independent political entity,,,,,39,71,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Tanzania,149590,independent political entity,,,,,-6,35,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Thailand,1605651,independent political entity,,,,,15,100,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Tigris River,96998,stream,,,,,30.59063703,47.76906967,5
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Turkey,298795,independent political entity,,,,,39.059012,34.911546,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Turkmenistan,1218197,independent political entity,,,,,40,60,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Uganda,226074,independent political entity,,,,,2,33,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Uzbekistan,1512440,independent political entity,,,,,41.707542,63.84911,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Vietnam,1562822,independent political entity,,,,,16.1666667,107.8333333,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Volta,2294237,stream,,,,,5.773847,0.672013,5
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Zambezi River,876728,stream,,,,,-18.8333333,36.2833333,5
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Zambia,895949,independent political entity,,,,,-15,30,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Zimbabwe,878675,independent political entity,,,,,-19,29,6
