CRP,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,AES,Agro-ecological zone (AEZ),SLO,Theme,Activity Start Date,Activity End Date,Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),,
5,4.1.5,,"Theme, 4.1, Mekong River Basin",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.2.1,,"Theme, 4.2, Ganges River Basin",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.2.2,,"Theme, 4.2, Ganges River Basin",,,,,,,Economic and policy technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.2.3,,"Theme, 4.2, Ganges River Basin",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.2.4,,"Theme, 4.2, Ganges River Basin",,,,,,,Water management technology|Information and communication technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.2.5,,"Theme, 4.2, Ganges River Basin",,,,,,,Economic and policy technology|Education technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.2.6,,"Theme, 4.2, Ganges River Basin",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.2.7,,"Theme, 4.2, Ganges River Basin",,,,,,,Education technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Wastewater management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.3.1,,"Theme, 4.3, Indus River Basin",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.3.2,,"Theme, 4.3, Indus River Basin",,,,,,,Water management technology|Irrigation technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.3.3,,"Theme, 4.3, Indus River Basin",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Wastewater management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.3.4,,"Theme, 4.3, Indus River Basin",,,,,,,Economic and policy technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Sustainable land management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.4.1,,"Theme, 4.4, Amu Darya and Syr Darya River Basin",,,,,,,Soil management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.4.2,,"Theme, 4.4, Amu Darya and Syr Darya River Basin",,,,,,,Water management technology|Information and communication technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.4.3,,"Theme, 4.4, Amu Darya and Syr Darya River Basin",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Sustainable land management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.4.4,,"Theme, 4.4, Amu Darya and Syr Darya River Basin",,,,,,,Water management technology|Economic and policy technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.4.5,,"Theme, 4.4, Amu Darya and Syr Darya River Basin",,,,,,,Economic and policy technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Sustainable land management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.4.6,,"Theme, 4.4, Amu Darya and Syr Darya River Basin",,,,,,,Economic and policy technology|Irrigation technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Wastewater management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.5.1,,"Theme, 4.5, Nile River Basin",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.5.2,,"Theme, 4.5, Nile River Basin",,,,,,,Economic and policy technology|Irrigation technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
