CRP,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,AES,Agro-ecological zone (AEZ),SLO,Activity location type,Theme,Activity Start Date,Activity End Date,Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),,,,,,,,,
3.2,1.6,,,,,,,,maize,Tolerance of environmental pressure varieties,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,3,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,2.1,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,2.1,,,,,,,,maize,Conservation agriculture technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,2.11,,,,,,,,maize,Conservation agriculture technology|Genetic engineering,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,2.12,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,2.2,,,,,,,,maize,Education technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,2.3,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,2.4,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,2.5,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,2.6,,,,,,,,maize,Education technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,2.7,,,,,,,,maize,Education technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,2.8,,,,,,,,maize,Conservation agriculture technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,2.9,,,,,,,,maize,Soil management technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,3,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,3.1,,,,,,,,maize,Education technology|Seed technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,3.2,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,3.3,,,,,,,,maize,Genetic engineering|Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,3.4,,,,,,,,maize,Information and communication technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,3.5,,,,,,,,maize,Information and communication technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,3.6,,,,,,,,maize,Information and communication technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,4,,,,,,,,maize,Economic and policy technology|Education technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,4.1,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,4.1,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,4.11,,,,,,,,maize,Conservation agriculture technology|Genetic engineering,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,4.2,,,,,,,,maize,Conservation agriculture technology|Genetic engineering,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,4.3,,,,,,,,maize,Genetic engineering,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,4.4,,,,,,,,maize,Genetic engineering|Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,4.5,,,,,,,,maize,Genetic engineering|Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,4.6,,,,,,,,maize,Genetic engineering|Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,4.7,,,,,,,,maize,Seed technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,4.8,,,,,,,,maize,Genetic engineering|Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,4.9,,,,,,,,maize,Climate information and advisory service,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,5,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,5.1,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,5.2,,,,,,,,maize,Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,5.3,,,,,,,,maize,Education technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,5.4,,,,,,,,maize,Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,5.5,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,5.6,,,,,,,,maize,Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,5.7,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,5.8,,,,,,,,maize,Economic and policy technology|Seed technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,6.1,,,,,,,,maize,Postharvest technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,6.2,,,,,,,,maize,Postharvest technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,6.3,,,,,,,,maize,Genetic engineering|Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,6.4,,,,,,,,maize,Postharvest technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,6.5,,,,,,,,maize,Aflatoxins related postharvest technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,6.7,,,,,,,,maize,Postharvest technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,8.1,,,,,,,,maize,Education technology|Seed technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,8.2,,,,,,,,maize,Education technology|Seed technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,8.3,,,,,,,,maize,Information and communication technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,8.4,,,,,,,,maize,Information and communication technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
