CRP,Source Detail,geo_name,geo_name_id,location_type,adm1,adm1name,adm2,adm2name,latitude,longitude,precision
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Beheira Governorate,361370,first-order administrative division,1159,Al Buhayrah (behera),,,30.6,30.2,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Bobo-Dioulasso,2362344,seat of a first-order administrative division,40284,Hauts-bassins,12121,Houet,11.177154,-4.297901,1
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Boorama,64022,locality,2698,Juba Dhexe,25699,Jilib,0.559287,43.168546,1
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Borana Farm,200277,farm,51331,Rift Valley,51384,Laikipia,0.262651,37.325438,1
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Chakw?l,7418964,second-order administrative division,2276,Punjab,23656,Chakwal,32.897792,72.531137,3
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Chikkaballapur,8224036,second-order administrative division,1494,Karnataka,17690,Kolar,13.55,77.87,3
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Chinyanja,918813,,,,,,-14.86667,28.1,5
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Dalol,340119,populated place,1228,Afar,40789,Afar Zone 2,14.238202,40.18926,1
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Damongo,2302002,populated place,1329,Northern,16635,West Gonja,9.083371,-1.818188,1
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Dara,2253277,populated place,47587,Louga,47594,Linguere,15.34844477,-15.47992945,1
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,East Shewa Zone,7670720,second-order administrative division,47678,Oromia,47690,East Shewa,8.21353006,38.848092,3
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Eastern Tigray Zone,7869879,second-order administrative division,1237,Tigray,40851,Easetern Tigray,14.1154028,39.5869916,3
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Egypt,357994,independent political entity,,,,,27,30,6
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Fakara,2445171,populated place,2204,Dosso,22561,Loga,13.5129,3.1525,1
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Fergana,1514018,populated place,,,,,40.5666667,68.3666667,5
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Ferlo,2251892,region,,,,,15,-14,5
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Garissa,197744,first-order administrative division,51329,North Eastern,,,-0.172,40.041,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Geregera,336820,populated place,2703,Sool,25716,Caynabo,11.766667,38.75,1
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Ghanzi District,933758,first-order administrative division,656,Ghanzi,,,-22,22,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Gouiré,2360479,populated place,40276,Boucle Du Mouhoun,12148,Sourou,13.298132,-2.7557993,2
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Gousi,2360210,populated place,40276,Boucle Du Mouhoun,12137,Nayala,12.6561,-2.7953,1
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Hama,170015,first-order administrative division,2840,Hama,,,35.233333,37.2,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Indore,1269744,second-order administrative division,70079,Madhya Pradesh,17729,Indore,22.6666667,75.75,3
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Kajiado,7667657,first-order administrative division,51331,Rift Valley,,,-2.131,36.878,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Kano,2335204,seat of a first-order administrative division,2035,Kano,,,12.00011641,8.516721725,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Kano State,2335196,first-order administrative division,2035,Kano,,,11.5,8.5,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Karas,3371201,first-order administrative division,2140,Karas,,,-27,17.5,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Karkheh River,6649406,,,,,,31.573,48.5001,5
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Katsina State,2334797,first-order administrative division,2036,Katsina,,,12.25,7.5,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Kazakhstan,1522867,independent political entity,,,,,48,68,5
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Kumbungu,2298879,populated place,1329,Northern,16634,Tolon/Kumbungu,9.563367,-0.949039,1
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Kuruman,986134,,2712,Northern Cape,25763,Kalahari District Council,-27.4524,23.43246,1
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Kweneng District,933562,first-order administrative division,659,Kweneng,,,-24,25,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Kyrgyzstan,1527747,independent political entity,,,,,41,75,6
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Machakos,7667644,first-order administrative division,51327,Eastern,,,-1.282,37.408,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Maradi,2441291,seat of a first-order administrative division,2036,Katsina,,,13.5,7.101744,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Markala,2453662,populated place,1932,Segou,19407,Segou,13.7021,-6.0659,1
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Marsabit,187583,first-order administrative division,51327,Eastern,,,2.966667,37.6,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Materi,7874158,second-order administrative division,610,Atakora,5871,Materi,10.798602,1.0275639,3
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Meknes,6547283,second-order administrative division,2107,Centre Sud,21795,Meknes,33.97760733,-5.524961105,3
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Min?aqat as Salam?yah,164946,second-order administrative division,2840,Hama,26349,Name Unknown,35.143982,37.592353,3
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Morocco,2542007,independent political entity,,,,,32,-5,6
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Niono,2452655,populated place,1932,Segou,19405,Niono,14.2526,-5.993,1
2.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,North Shewa Zone,8051207,second-order administrative division,1229,Amhara,47682,North Shewa (K3),9.769,39.668,3
3.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Nubaria Canal,350983,canal,1159,Al Buhayrah (behera),15541,Administrative unit not available,30.71416811,30.74232101,2
4.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Nueiba,350893,populated place,1178,Janub Sina (south Sinai),15560,Administrative unit not available,29.046811,34.663397,2
5.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Oromiya Region,444185,first-order administrative division,47678,Oromia,,,8,39,4
6.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Ouahigouya,2357043,seat of a first-order administrative division,40285,Nord,12152,Yatenga,13.582782,-2.421582,1
7.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Préfecture de Tone,2367163,second-order administrative division,2974,Savanes,65287,Tone,10.9166667,0.1666667,3
8.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Qashqadaryo,1216310,populated place,,,,,39.5,64.566667,5
9.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Rasht,1221740,populated place,2902,Tadzhikistan Territories,33293,Rasht,39.028715,70.374459,2
10.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Région de Meknès-Tafilalet,2542710,first-order administrative division,2107,Centre Sud,,,32.5833333,-5,4
11.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,R?dkh?neh-ye Karkheh,128552,stream,,,,,31.7367,47.9779,5
12.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Serengeti District,150095,second-order administrative division,3064,Mara,33719,Serengeti,-2,34.833333,3
13.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Serengeti National Park,150094,park,,,,,-2.3333333,34.8333333,5
14.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Shinyanga,150004,first-order administrative division,3072,Shinyanga,,,-3.75,33,4
15.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Sikasso Region,2451184,first-order administrative division,1933,Sikasso,,,11.3,-6.2,4
16.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Sudan,366755,independent political entity,,,,,16,30,6
17.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Sudan,366755,independent political entity,,,,,16,30,6
18.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Syria,163843,independent political entity,,,,,35,38,6
19.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Tajikistan,1220409,independent political entity,,,,,39,71,6
20.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Tolon,2294484,populated place,1329,Northern,16635,West Gonja,9.432079,-1.065907,1
21.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Tunisia,2464461,independent political entity,,,,,34,9,6
22.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Turkey,298795,independent political entity,,,,,39.059012,34.911546,6
23.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Turkmenistan,1218197,independent political entity,,,,,40,60,6
24.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Udaipur,1253989,second-order administrative division,1506,Rajasthan,17860,Udaipur,24.33,73.77,3
25.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Uzbekistan,1512440,independent political entity,39697,Navoiy,39821,Tamdi district,41.707542,63.84911,6
26.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Vryburg,942511,seat of a second-order administrative division,2711,North-west,25754,Bophirima District Council,-26.956588,24.728403,1
27.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,West Shewa Zone,7670715,second-order administrative division,47678,Oromia,47694,West Shewa,9.13948228,37.8501636,3
28.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Yako,2353688,seat of a second-order administrative division,40285,Nord,12141,Passore,12.959101,-2.260746,2
29.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Zinzana,2448282,populated place,1932,Segou,19407,Segou,13.252509,-5.964546,1
