no	SRP	Cluster	2nd	Center	cg_internal	title	(select from list)	start_Planned	start_Actual	end_Planned	end_Actual	contact	rep_org_name	rep_org_type	part_org_name	part_org_role	Description	regions	countries	effort_by_basin	Admin	Site	yearly_budget	currency	(select from list)	W1&2	W3	Bilateral	Total	Nile	Volta & Niger	Limpopo & Zambezi	Amu Darya & Sur Darya	Tigris & Euphrates	Indus & Ganges	Mekong	Andes	Other	Global
11	1	1.2		8.ICRISAT	1.2.4	Enhancing bluewater use efficiency in the SAT						 Sawargaonkar	ICRISAT	80 | Academic, Training and Research			Demostrating micro irrigation and other improved irrigation management options including supplemental irrigation at research station and pilot watersheds; Demostrating short duration and improved crop varieties; Experimenting/validating use of Water impact calculator (WIC) for irrigation scheduling in differnet soils and climatic conditions; Demostrating various landform and land management practices at pilot sites.	SASI	India	Other (100)			483000	USD	CRP - Water, Land and Ecosystems	$199,480		$283,520	$483,000									100%	
12	1	1.2		9.IFPRI	1.2.5	Technical assistance for the strategic research for sustainable food and nutrition security in Asia (RETA 7648-RE):  Water Component (6904-001)						 Zhu	FPRI	80 | Academic, Training and Research			"Increasing food production while reducing agricultural water use is a key to resolving the emerging challenges for food security and water sustainability in Asia. This study aims to answer the following main research questions centered on the central theme of “less water, more food” under the specific agricultural and water resources contexts of China, India and Vietnam. The study aims to address the following research questions, in particular:
1. What is the present status of social and technological infrastructure supporting water use and management in agriculture and beyond in the case study basins and countries? What policies affect inter- and intra-sectoral water allocation?  
2. What are the barriers to adoption of water saving technologies at the national level in general and at the case study sites in particular? Barrier identification needs to examine both socioeconomic and technological aspects, incorporating surveyed opinions from farmers and water managers. 
3. What are the promising water saving policies, technologies and management strategies for the case study basins/sites or countries that may prompt food security and water sustainability? 
"	EASI; SASI; SEAS	China; India; Vietnam	Mekong, Andes, Other (33/33/33)			8340	USD	CRP - Water, Land and Ecosystems			$8,340	$8,340							33%	33%	33%	
13	1	1.3		12.IWMI	1.3.1	Improving Water Productivity						Ravinder Malik	IWMI	80 | Academic, Training and Research			2.Provide a comprehensive review of the current status of uptake and investment in agricultural water management in Cambodia, with a particular focus on trends in small scale and groundwater irrigation.	SEAS	Cambodia	Indus & Ganges, Mekong (70/30)			796478	USD	CRP - Water, Land and Ecosystems	$472,559		$323,919	$796,478						70%	30%			
14	1	1.3	5.1	5.CPWF	1.3.2	Resource profiles, extrapolation domains, and land-use patterns in the Ganges						Andrew Nelson	CPWF	80 | Academic, Training and Research			Research to define where and when different improved water storage practices are likely to be effective in improving livelihoods and production system productivity in coastal areas of the Ganges. Activities include identifying relevant spatial and survey data, coordinated soil and water salinity monitoring, and tracking recent evolution of cropping systems (emphasis on rice-based systems) in the study area.  	SASI	Bangladesh; India	Indus & Ganges (100)			291049	USD	CRP - Water, Land and Ecosystems	$291,049			$291,049						100%				
15	1	1.3	4.2	5.CPWF	1.3.3	Productive, profitable, and resilient agriculture and aquaculture systems in the Ganges						 Humphreys	CPWF	80 | Academic, Training and Research			Research to improve the productivity and resilience of agricultural and aquacultural systems in study sites of Ganges coastal areas. Specific activities include team building, literature reviews, farm surveys, and on-farm trials for rice varieties, alternative cropping patterns, and rice-aquaculture systems, being mindful of opportunites presented through market value chains	SASI	Bangladesh	Indus & Ganges (100)			473153	USD	CRP - Water, Land and Ecosystems	$473,153			$473,153						100%				
16	1	1.3	4.2	5.CPWF	1.3.4	Water governance and community-based management in the Ganges						 Mukherji	CPWF	80 | Academic, Training and Research			Research to understand and improve community management of fresh water storage infrastructure in polders in coastal areas of the Ganges. (Improved management may be a necessary precursor to intensified cropping patterns.) Specific activities include secondary information review, key informant interviews, mapping of polder infrastructure, mapping of land use and inundation levels, institutional surveys, and polder case studies.	SASI	Bangladesh	Indus & Ganges (100)			383093	USD	CRP - Water, Land and Ecosystems	$383,093			$383,093						100%				
17	1	1.3	4.2	5.CPWF	1.3.5	Assessment of the impact of anticipated external drivers of change on water resources of the coastal zone in the Ganges						 Khan	CPWF	80 | Academic, Training and Research			Research to assess the impat of external drivers of change on water resources of coastal areas of Ganges. Specific activities include characterization of study areas, definition of key drivers through literature reviews and key informant surveys, and modeling of the effect of climate change on water levels, flow and salinity, and the long-term feasibility of polder management innovations	SASI	Bangladesh	Indus & Ganges (100)			332960	USD	CRP - Water, Land and Ecosystems	$332,960			$332,960						100%				
18	1	1.3		9.IFPRI	1.3.6	Evaluating the impact of irrigation on ecosystem services (ES) and smallholder resilience in Nepal						 Zhang	FPRI	80 | Academic, Training and Research			Irrigation agriculture can make important contributions to food security, improved nutrition and rural prosperity. However, empirical evidence on the impact of irrigation on ES and smallholders’ resilience is lacking, with a few existing studies showing mixed results. For example, while some studies argue that irrigation contributes to crop diversity by extending the growing season and broadening crop choices, others show that irrigation leads to reduced crop diversity due to mono-cropped high yield varieties replacing local varieties. Evidence on the impact on land use change is also lacking. While some have argued that irrigation reduces pressure on the surrounding forest resource, grazing and marginal lands because of increased cropping intensification, others have suggested the reverse trend. The exact changes remain unclear and need to be quantified in order to understand the impact on natural/semi-natural and fragile ecosystems. Irrigation has the potential to help smallholders reduce their risks and vulnerability to shocks by diversifying activities. A deeper look is needed to understand how irrigation has contributed to farmers’ resilience, both positively and negatively, by addressing important factors such as access to irrigation, seasonality of irrigation, multiple use of water, and access to natural resources, accounting for changes in ES underlined by biodiversity, intensification, and land use change. The research will improve our understanding of the impact of small-scale irrigation schemes on ES and smallholders’ resilience to natural and socio-economic changes in the Terai plain of Nepal. We combine the Nepal Living Standards Survey data with primary data to be collected through village and household surveys. The survey follows a 2-stage random sampling design of agricultural communities and households within them, post-stratifying by income level, type of irrigation project, and spatial location in the scheme. Remote sensing data on land cover/use will be used to assess land use change before/after establishing the scheme. 	SASI	Nepal	Indus & Ganges (100)			165575	USD	CRP - Water, Land and Ecosystems	$165,575			$165,575						100%				
19	2	2		12.IWMI	2.0.1	MUS						Barbara van Koppen	IWMI	80 | Academic, Training and Research			The MUS Group aims to improve advocacy for the delivery of multiple use water services (MUS) as a better way to use water for poverty reduction, gender equity and peri-urban and rural development. To this end, the MUS Group facilitates information sharing, supports original research and documentation, synthesizes findings, and promotes implementation and learning across the water and development sectors.	Global		Other (100)			18922	USD	CRP - Water, Land and Ecosystems	 $14,922 	 $-   	 $4,000 	$18,922									100%	
20	2	2		3.CIAT	2.0.2	SRP coordination, representation and strategic studies						 Bossio	CIAT	80 | Academic, Training and Research			Leadership of Rainfed SRP; Participation in WLE MT and  cross cutting themes; strategic papers on ES&R; representation of WLE and Rainfed	Global		00 | Global			250631	USD	CRP - Water, Land and Ecosystems	$250,631			$250,631										100%
21	2	2		3.CIAT	2.0.3	Impact pathways, social and institutional baselines and future scenarios for study landscapes						 Snyder	CIAT	80 | Academic, Training and Research			2013: Development and implementation of social, gender and institutional baselines, participatory scenario buiding for analysis of futures and possible trajectories of change, and engagement with CAADP and other decision makers and change actors to develop impact pathways  for three study landscapes in Africa.  2014-2015: Interventions identified will then be tested with action field research alongside farmers and implementers (Govt., NGOs,) and lessons outscaled for wider impact 	Africa		Nile, Volta & Niger, Limpopo & Zambezi (33/34/33)			75000	USD	CRP - Water, Land and Ecosystems	$75,000			$75,000	33%	34%	33%							
22	2	2.1		10.IITA	2.1.1	Evaluate early maturing resilient maize varieties for response to N in the Sudan Savanna Agroecology						 Kamara; Badu-Apraku; Ewansiha; Jibrin	IITA	80 | Academic, Training and Research			Evaluate 5 early-maturing maize varieites under a range of N levels inorder to estalbish optimum N requirment of early maturing maize in the Sudan Savannas	EAFR	Sudan	Volta & Niger (100)			57750	USD	CRP - Water, Land and Ecosystems	$57,750			$57,750		100%								
23	2	2.1		10.IITA	2.1.2	Soybean response to innoculation 						 Kamara; Jemo; Jibrin	IITA	80 | Academic, Training and Research			Evaluating soyben response to Rhizobium innoculation with or without P fertilization	WAFR	Nigeria	Volta & Niger (100)			21000	USD	CRP - Water, Land and Ecosystems	$21,000			$21,000		100%								
24	2	2.1		10.IITA	2.1.3	Improving Sorghum and millet production systms				2013		 Abdoulaye	IITA	80 | Academic, Training and Research			Technicla backstopping of KNARDA  and Demonstration of PICS technology inproject villages	WAFR	Nigeria	Volta & Niger (100)			88200	USD	CRP - Water, Land and Ecosystems			$88,200	$88,200		100%								
25	2	2.1		10.IITA	2.1.4	 Improving the livelihoods of smallholder farmers in drought-prone areas of sub-saharan Africa and South Asia through enhanced grain legume production and productivity. Tropical Legumes-II (Phase 2)				2014		 Ousmane; Boahen; Kamara	IITA	80 | Academic, Training and Research			Improving the livelihoods of smallholder farmers in drought-prone areas of sub-saharan Africa and South Asia through enhanced grain legume production and productivity. Tropical Legumes-II (Phase 2) http://www.icrisat.org/tropicallegumesII/	SSA; SASI		Volta & Niger, Limpopo & Zambezi (50/50)			355705	USD	CRP - Water, Land and Ecosystems		$355,705		$355,705		50%	50%							
26	2	2.1		12.IWMI	2.1.5	Sustainable increase in productivity of rainfed landscapes		1-Mar-11		28-Feb-14		Robyn Johnston	IWMI	80 | Academic, Training and Research			"Compilation and finalization of information required to formulate strategies for increasing the productivity in rainfed systems will be undertaken for each of the pilot sites. There are five phases to achieving the aforementioned outcome that includes; (1) the identification and screening of a large number possible management options (technologies and approaches); (2) a short listing of options for preliminary evaluation and comparison; (3) spatial assessment of dependencies and interactions between combinations of options within the context of a landscape-scale strategy; (4) detailed ex ante evaluation of the potential impacts and outcomes of strategies, taking account of interactions and synergies at a macro-scale; and (5) monitoring and evaluation. This will require field assessments, data collection, and participatory assessment at each of the pilot sites in which the project is being implemented. 
Further, it is anticipated that over the coming reporting period an approach will be made to the donor for a continuance of the project into a second phase with partners that would assess the value of the framework developed and to promote the out-scaling of this approach."	SSA; SEAS		Nile,Volta & Niger,Limpopo & Zambezi, Mekong (25 each)			222885	USD	CRP - Water, Land and Ecosystems	$100,000	$0	$122,885	$222,885	25%	25%	25%				25%			
27	2	2.1		3.CIAT	2.1.6	Reinvesting in soil quality: the basis for long-term gains in productivity and ecosystem services				2014		 Kizito	CIAT	80 | Academic, Training and Research			 Analyse the impact of field-based interventions on soils, water and landscape functions, to inform development decisions and investment to achieve improved productivity and equity of benefits in landscapes in selected regions of West, East and South Africa. 	WAFR; EAFR; SAFR		Nile, Volta & Niger, Limpopo & Zambezi (34/33/33)			782000	USD	CRP - Water, Land and Ecosystems	$212,000	$570,000		$782,000	34%	33%	33%							
28	2	2.1		3.CIAT	2.1.7	Deliver legume and innoculant technologies to farmers throughout SSA (D&D) working directly with 225,000 farm households						 Huising	CIAT	80 | Academic, Training and Research			Key BNF technologies, legume enterprises, production and processing strategies, markets and extension events are identified and advanced through the N2Africa project http://www.n2africa.org/	SSA		Nile (100)			755744	USD	CRP - Water, Land and Ecosystems			$755,744	$755,744	100%									
29	2	2.1		3.CIAT	2.1.8	Baseline and M&E to target and monitor N2fixation technologies implemented, resource materials and training programs undertaken to support uptake of N2fixation technologies						 De Wolf; Musyoka	CIAT	80 | Academic, Training and Research			Establish a baseline of the current status of N2-fixation; distribute BNF resource materials to educational institutions and provide web based support on key BNF methods and techniques; train private sector partners on innoculant production and quality control			Nile (100)			514879	USD	CRP - Water, Land and Ecosystems			$514,879	$514,879	100%									
30	2	2.1		3.CIAT	2.1.9	Identify varieties of legumes (grain, tree and fodder) with high  BNF potential and adaptation to biotic and abiotic stress 						 Baijukya	CIAT	80 | Academic, Training and Research			Select best varieties of legumes for high N2-fixation capacity and adaptation to abiotic [low soil P, soil acidity, etc] and biotic stresses [pests and diseases]; and explore their  potential for intensive meat and milk production and environmental services			Nile (100)			448521	USD	CRP - Water, Land and Ecosystems			$448,521	$448,521	100%									
31	2	2.1		3.CIAT	2.1.10	Identify best fit agricultural practices for maximizing potential of legumes, the need to innoculate and evaluate their contribution to systems productivity						 Baijukya; Franke; Woomer; Karanja; Mazvita	CIAT	80 | Academic, Training and Research			Identify best-fit agronomic practices (system design, need for amendments) and evaluate their contributions to system productivity and livelihoods with specific attention to trade-off analysis between competing enterprises; Assess the need-to-inoculate for the target legumes and identify elite strains across the impact zones.			Nile (100)			396739	USD	CRP - Water, Land and Ecosystems			$396,739	$396,739	100%									
32	2	2.1		3.CIAT	2.1.11	Explore the contribution of soil quality in regional yield gaps and associated management				2014		 Kihara	CIAT	80 | Academic, Training and Research			Linking tools and assessments for crop and yield gap modeling and capacity building  in East, West and Southern Africa http://www.yieldgap.org/	WAFR; EAFR; SAFR		00 | Global			257693	USD	CRP - Water, Land and Ecosystems	$85,000		$172,693	$257,693										100%
33	2	2.1		4.CIP	2.1.12	Defining management strategies to improve soil carbon, nutrients and water use efficiencies in potato- and sweet potato-based systems and modeling their impact at different spatial and temporal scales						 Posadas; Quiroz	CIP	80 | Academic, Training and Research			This activity covers several issues faced by scientist when proposing alternatives to intensify farming and improve land use and ecosystems services at landscape level in rainfed systems. It includes the characterization and modeling of shallow groundwater level dynamics, testing of water management schemes to increase the efficiency in the use of water, assessing soil carbon and nutrient dynamics and use efficiencies at different temporal and spatial scales. A limiting factor in modeling soil-carbon-nutrients-water relations across scales is the lack of good quality data at the resolutions needed. The research proposed focuses on generating and processing remotely sensed information to be used as ancillary data. To assess the robustness of the procedures tested, the theory will be developed in data-rich environments to ascertain the biases introduced as data scarcity increases. We propose using non-linear processes to characterize and model the processes of interest. Tools and methods will be programmed in open source software and national partners in developing countries will be trained in their use, once validated.	SAME		Andes, Global (50/50)	Central Sierra		194387	USD	CRP - Water, Land and Ecosystems	$194,387			$194,387								50%		50%
34	2	2.1	4.1	5.CPWF	2.1.13	Integrated rainwater management strategies-technologies, institutions and policies in the Nile						 Langan	CPWF	80 | Academic, Training and Research			Research on improved rainwater management at the landscape level in three sites in the Nile basin. Activities include site characterization, hydrometerological data collection, identification of site-level livelihoods issues and opportunities, and establishment of innovation platforms for participatory development of improved RWM strategies for agricultural diversification and intensification, using market value chains.	EAFR	Ethiopia	Nile (100)			558118	USD	CRP - Water, Land and Ecosystems	$558,118			$558,118	100%									
35	2	2.1	4.1	5.CPWF	2.1.14	Coordination and multi-stakeholder platforms in the Nile  (coordination and change project)						 Duncan; Langan	CPWF	80 | Academic, Training and Research			Multiple activities related to fostering cross-project integration, maintaining basin research program coherence, engaging with senior policymakers, exploring scaling out opportunities, providing communications leadership, and participating in project M&E	EAFR	Ethiopia	Nile (100)			475322	USD	CRP - Water, Land and Ecosystems	$475,322			$475,322	100%									
36	2	2.1		5.CPWF	2.1.15	Farm systems and risk management In the Limpopo						 Van Rooyen	CPWF	80 | Academic, Training and Research			Research to improve livelihoods through more productive rainfed crop and livestock technologies and investments in the Limpopo, with an emphasis on those linked to livestock market value chains. Specific activities include innovation platforms to develop site-specific solutions, and crop and livestock modeling to develop scenarios for subsequent field testing by farmers. 	SAFR		Limpopo & Zambezi (100)			448525	USD	CRP - Water, Land and Ecosystems	$448,525			$448,525			100%							
37	2	2.1	5.1	5.CPWF	2.1.16	Integrated management of rainwater for crop-livestock agroecosystems						 Ayantunde	CPWF	80 | Academic, Training and Research			Research on improved livelihood options in the Volta basin, especially market value chains, learning platforms, and participatory management of rainwater management infrastructure, to improve performance of crop livestock systems	WAFR		Volta & Niger (100)			337525	USD	CRP - Water, Land and Ecosystems		$337,525		$337,525		100%								
38	2	2.1		6.ICARDA	2.1.17	Economic optimization of water allocation from Tadal reserviour to cropping systems downstream including summer full irrigation and winter supplemental irrigation. Optimization modeling including various water management options and crop combinations. 						 Karrou; Oweis	ICARDA	80 | Academic, Training and Research				NAFR	Morocco	Nile (100)	Oum Rabia basin	Tadal reservoir	350000	USD	CRP - Water, Land and Ecosystems	$128,000	$111,000	$111,000	$350,000	100%									
39	2	2.1		8.ICRISAT	2.1.18	Develop and promote low-cost runoff harvesting and soil conserving systems for different rainfall zones				2013		 Garg	ICRISAT	80 | Academic, Training and Research				SASI		00 | Global			543400	USD	CRP - Water, Land and Ecosystems	$424,984		 $118,416 	$543,400										100%
40	2	2.1		8.ICRISAT	2.1.19	Enhancing greenwater and use efficiency in the SAT				2013		 G Sawargaonkar	ICRISAT	80 | Academic, Training and Research				SASI		00 | Global			230650	USD	CRP - Water, Land and Ecosystems	$89,954		$140,697	$230,650										100%
41	2	2.1		8.ICRISAT	2.1.20	Integrated Management of Water for Productivity and Livelihood Security under Variable and Changing Climatic Conditions in Eastern & Central Africa				Dec-13		 K.P.C. Rao	ICRISAT	80 | Academic, Training and Research			"Even though most countries in Eastern Africa have adequate water resources, they face an economic water scarcity due to inadequate investments in water management systems. 
Investments in agricultural water can contribute to agricultural growth by encouraging intensification and diversification of agricultural activities. In contrast to past interventions, which mainly focused on farm level interventions, this project employs Integrated Watershed Management (IWM) approach that links production, conservation and livelihoods of people in a given watershed"	EAFR	Eritrea; Ethiopia; Kenya; Madagascar; Rwanda	Volta & Niger, Other (25/75)			84000	USD	CRP - Water, Land and Ecosystems			 $84,000 	$84,000		25%							75%	
42	2	2.2		10.IITA	2.2.1	Evaluate host/rhizobia interactions and assess the contribution of N2 fixation to system productivity across three agro-ecologies				2014		 Boahen	IITA	80 | Academic, Training and Research			Use several soybean genotypes and several Bradyrhizobium strains to identify best strains for specific genotypes, assess N2 fixation and quantify N left over by soybean for the suceeding crop	SAFR		Limpopo & Zambezi (100)			28875	USD	CRP - Water, Land and Ecosystems	$28,875			$28,875			100%							
43	2	2.2		10.IITA	2.2.2	Assess the yield responses of sesame genotypes to N and P fertility mangement for responsive soils in low rainfall agroecologies				2013		 Boahen	IITA	80 | Academic, Training and Research			Apply various levels of N and P fertilizers to several sesame genotypes and evaluate their effects on growth, yield components and yields across low rainfll ecologies	SAFR		Limpopo & Zambezi (100)			28875	USD	CRP - Water, Land and Ecosystems	$28,875			$28,875			100%							
44	2	2.2		10.IITA	2.2.3	Evaluate the impact of low nutrient-high durability mulch and inorganic C (biochar) on soil properties and root & tuber yields 				2013		 Hauser	IITA	80 | Academic, Training and Research			Evaluate the impact of low nutrient-high durability mulch and inorganic C (biochar) on soil properties and root & tuber yields 	WAFR		Volta & Niger (100)			93750	USD	CRP - Water, Land and Ecosystems	$93,750			$93,750		100%								
45	2	2.2		10.IITA	2.2.4	Putting Nitrogen Fixation to Work for Smallholder Farmers in Africa (N2Africa)				2013		 Dianda; Jemo; Masso; Vanlauwe	IITA	80 | Academic, Training and Research			Evalaute and disseminate grain legumes and innoculant technologies among small	Africa		Volta & Niger, Global (50/50)			1029353	USD	CRP - Water, Land and Ecosystems			$1,029,353	$1,029,353		50%								50%
46	2	2.2		10.IITA	2.2.5	Design and evaluate technological packages that exploit the beneficial effects of native soils microorganisms to maximise food productivity and minimize environmental impact on agricultural lands in West africa				2013		 Jemo; Masso; Abaidoo; Vanlauwe	IITA	80 | Academic, Training and Research			Evaluate technological packages that exploit the beneficial effects of native soils microorganisms to maximise food productivity and minimize environmental impact on agricultural lands in West Africa	WAFR		Volta & Niger, Global (50/50)			1212129	USD	CRP - Water, Land and Ecosystems			$1,212,129	$1,212,129		50%								50%
47	2	2.2		10.IITA	2.2.6	Putting Nitrogen Fixation to Work for Smallholder Farmers in DRC, Liberia and Sierra Leone				2013		 Vanlauwe; Kamara; James; Tegbaru	IITA	80 | Academic, Training and Research				MAFR; WAFR	Congo DRC; Liberia; Sierra Leone	Volta & Niger, Global (50/50)			366223	USD	CRP - Water, Land and Ecosystems			$366,223	$366,223		50%								50%
48	2	2.2		3.CIAT	2.2.7	Restoration and conservation of biodiversity in El Salvador through the adaptation and dissemination of a slash and mulch agroforestry system (USAID funded project - May 2012 to 2017)				2017		 Castro; Fonte	CIAT	80 | Academic, Training and Research			Workshops, Stakeholder-to-stakeholder knowledge and experience sharing; Establishment of plots for the development and adaptation of slash and mulch based AFS; Baseline assessments of plot scale ecosystem services (ES) in the study area; Participatory adaptation and evaluation of integrated pest management options to replace the use of pesticides in production plots, with emphasize on herbicides	CAMC	El Salvador	Other (100)			159258	USD	CRP - Water, Land and Ecosystems			$159,258	$159,258									100%	
49	2	2.2	5.2	3.CIAT	2.2.8	Strategic landscape studies in Meso-America and the Andes: 1) Development of the Latin-American Soil Information System (SISLAC); 2) landscape assessment of forest change from QSMAS; 3) Program development - Landscape diversification in Andes 4) Cross learning exchange CA and Andes						Augusto Castro; Glenn Hyman; Owens; Marcela Quintero; Tapasco	CIAT	80 | Academic, Training and Research			1) Joint effort including 20 Latinamerican countries, FAO-Global Soil Partnership (donor), ISRIC (collaborator), and EMBRAPA and CIAT (coordinators) for the consolidation and harmonization of information (soil profiles and maps at country level) and the generation of new country and regional digital soil maps; 2) Develop proposal to address socio-economic factors of land use, promising fallow diversification options and the role of farmscape composition and organization in overall farm productivity and agroecosystem functioning in Andean Agroecosystems ;3)  Quantify  dynamics of forest regrowth in the reference area of QSMAS in Honduras, and the impact of this process on the restoration of ecosystem services as landscape scale, during the period from 1992 (baseline) to present. 	SAME; CAMC		Andes, Other (50/50)			190000	USD	CRP - Water, Land and Ecosystems	$130,000		$60,000	$190,000								50%	50%	
50	2	2.2		6.ICARDA	2.2.9	Assessment, through modeling, of the impacts of community-based soil and water conservation interventions on watershed processes in Gondar, Ethiopia 						 Ziadat	ICARDA	80 | Academic, Training and Research			Excessive land degradation owing to erosive rain events and surprisingly shortage of water during dry periods within the rainy season are controversial phenomena. Soil conservation interventions to mitigate land degradation are implemented to cope with the former, while water harvesting in small ponds for supplemental irrigation is implemented to cope with the latter. Understanding the ideal location and selection of these interventions to improve productivity and livelihood will be investigated in a participatory way and using state-of-the-art modeling capabilities. This will help planners and decision makers to allocate various options based on the biophysical and socio-economic setup. The impact on the environment, productivity, water balance will be investigated within a system (watershed) to cover the up-stream down-stream integrated relationships.  This will help in reducing soil and water losses from the watersheds and preserve these resources to improve productivity and livelihood	EAFR	Ethiopia	Nile (100)	Gonder		400000	USD	CRP - Water, Land and Ecosystems	$210,000	$95,000	$95,000	$400,000	100%									
